1;на;на;ADP;_;_;_;_;_;Word#-text##-text#480.279#480.606
2;экране;экран;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;Word#-text##-text#480.606#480.933
3;вопрос;вопрос;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;Word#-text##-text#480.933#481.26
4;/;/;PUNCT;_;_;_;_;_;Word#-text##-text#481.26#481.587
5;зачем;зачем;ADV;_;Degree=Pos;_;_;_;Word#-text##-text#481.587#481.914
6;маленькое;маленький;ADJ;_;Case=Nom|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;Word#-text##-text#481.914#482.241
7;блюдо;блюдо;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;Word#-text##-text#482.241#482.568
8;кладут;класть;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;_;_;_;Word#-text##-text#482.568#482.895
9;на;на;ADP;_;_;_;_;_;Word#-text##-text#482.895#483.222
10;огромную;огромный;ADJ;_;Case=Acc|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;Word#-text##-text#483.222#483.549
11;тарелку;тарелка;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;Word#-text##-text#483.549#483.879
12;?;?;PUNCT;_;_;_;_;_;Word#-text##-text#483.879#484.599
13;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;Word#@ivlev1974#@ivlev1974#484.703#485.015
14;стёб;стёб;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;Word#@ivlev1974#@ivlev1974#485.015#485.327
15;/;/;PUNCT;_;_;_;_;_;Word#@ivlev1974#@ivlev1974#485.327#485.639
16;потому;потому;ADV;_;Degree=Pos;_;_;_;Word#@ivlev1974#@ivlev1974#485.639#485.951
17;что;что;ADV;_;Degree=Pos;_;_;_;Word#@ivlev1974#@ivlev1974#485.951#486.263
18;/;/;PUNCT;_;_;_;_;_;Word#@ivlev1974#@ivlev1974#486.263#486.575
19;знаешь;знать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;Word#@ivlev1974#@ivlev1974#486.575#486.887
20;/;/;PUNCT;_;_;_;_;_;Word#@ivlev1974#@ivlev1974#486.887#487.199
21;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;Word#@ivlev1974#@ivlev1974#487.199#487.511
22;недавно;недавно;ADV;_;Degree=Pos;_;_;_;Word#@ivlev1974#@ivlev1974#487.511#487.823
23;был;быть;AUX;_;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;Word#@ivlev1974#@ivlev1974#487.823#488.135
24;в;в;ADP;_;_;_;_;_;Word#@ivlev1974#@ivlev1974#488.135#488.447
25;/;/;PUNCT;_;_;_;_;_;Word#@ivlev1974#@ivlev1974#488.447#488.759
