1;Äâóõìåòðîâàÿ;Äâóõìåòðîâûé;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2569.01#2569.46
2;áåëàÿ;áåëûé;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2569.46#2569.91
3;áàáà;áàáà;NOUN;_;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2569.91#2570.36
4;ó;ó;INTJ;_;_;_;_;_;@dap1994m-words#@dap1994m#2570.36#2570.81
5;òåáÿ;òû;PRON;_;Case=Gen|Number=Sing|Person=2;_;_;_;@dap1994m-words#@dap1994m#2570.81#2571.26
6;æå;æå;PART;_;_;_;_;_;@dap1994m-words#@dap1994m#2571.26#2571.71
7;åùå;åùå;ADV;_;Degree=Pos;_;_;_;@dap1994m-words#@dap1994m#2571.71#2572.16
8;íåäàâíî;íåäàâíî;ADV;_;Degree=Pos;_;_;_;@dap1994m-words#@dap1994m#2572.16#2572.61
9;áûë;áûòü;VERB;_;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dap1994m-words#@dap1994m#2572.61#2573.06
10;íîâûé;íîâûé;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2573.06#2573.51
11;õýøòåã;õýøòåã;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2573.51#2573.96
12;ß;ÿ;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@dap1994m-words#@dap1994m#2573.96#2574.41
13;æåíùèíà;æåíùèíà;NOUN;_;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dap1994m-words#@dap1994m#2574.41#2574.86
14;ÿ;ÿ;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@dap1994m-words#@dap1994m#2574.86#2575.31
15;ìîãó;ìî÷ü;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dap1994m-words#@dap1994m#2575.31#2575.77
